Index;Study_ID;AuthorsAndYear;Journal;Class;Year;TaxaNumber;SSD_Proxy;SSD_SexBias_in_perc_F;SexSel_Proxy;SexSel_Sex;SexSel_Mode;SexSel_Category;PhyloControlled;BodySizeControlled;N;r;Var_r;SE_r;lCI;uCI;z;SE_z
52;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;4.2553191;OSR;Male;both;OSR;Yes;No;12;0.7549834;0.016809096;0.129649898;0.5008696;1.0090972;0.984444357;0.333333333
53;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;4.2553191;Mating system;Both;both;Mating system;Yes;No;50;0.3162278;0.016530611;0.128571426;0.064227806;0.568227794;0.327450188;0.145864991
54;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;4.2553191;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;32;0.4358899;0.021164516;0.145480294;0.150748524;0.721031276;0.467145315;0.185695338
55;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;4.2553191;ASR;Male;both;Other;Yes;No;37;0.1732051;0.026136111;0.161666666;-0.143661564;0.490071764;0.174969012;0.171498585
56;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;4.2553191;Group size;Both;both;Density;Yes;No;41;0.1;0.0245025;0.156532744;-0.206804179;0.406804179;0.100335348;0.162221421
57;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;4.2553191;Maximum mating percentage;Male;both;Other;Yes;No;19;0.1;0.05445;0.233345238;-0.357356666;0.557356666;0.100335348;0.25
58;32;Cassini 2020;Mammal Rev;Mammalia;2020;50;Body mass;4.2553191;Total paternity;Male;both;Other;Yes;No;50;0.1414214;0.0196;0.139999998;-0.132978597;0.415821397;0.142375688;0.145864991
59;34;Cox et al. 2003;Evolution;Reptilia;2003;302;Body size;NA;Male aggression;Male;pre-copulatory;Premating competition;Yes;Yes;212;0.136;0.00456564;0.067569522;0.003563737;0.268436263;0.136847915;0.069171446
60;34;Cox et al. 2003;Evolution;Reptilia;2003;302;Body size;NA;Male aggression;Male;pre-copulatory;Premating competition;Yes;Yes;497;0.133;0.001945433;0.044107066;0.046550151;0.219449849;0.133792642;0.044992127
61;37;Fitzpatrick et al. 2012;Evolution;Mammalia;2012;33;Body mass;18.1818182;Sperm competition;Male;post-copulatory;Postmating competition;Yes;No;13;-0.003;0.083331833;0.288672537;-0.51;0.51;-0.003000009;0.316227766
62;37;Fitzpatrick et al. 2012;Evolution;Mammalia;2012;33;Body mass;18.1818182;Mating system;Male;pre-copulatory;Mating system;Yes;No;33;0.5731;0.014093375;0.118715519;0.2401;0.7855;0.65212684;0.182574186
89;55;Garcia-Navas 2017;Evol Biol;Mammalia;2017;56;Body size;10;Baculum length;Male;post-copulatory;Postmating competition;Yes;No;56;-0.1612;0.01724917;0.131336096;-0.418618749;0.096218749;-0.162618467;0.018867925
63;38;Garcia-Navas et al. 2016;Oikos;Mammalia;2016;34;Body mass;32.3529412;Mating system;Both;both;Mating system;Yes;No;31;0.2196;0.030195908;0.173769699;-0.12098861;0.56018861;0.223235803;0.188982237
64;39;Gonzalez-Suarez & Cassini 2014;Mammal Rev;Mammalia;2014;9;Body mass;0;I males;Male;both;Other;Yes;No;9;0.8774;0.006622235;0.081377115;0.717900854;1.036899146;1.364358048;0.40824829
83;51;Gonzalez-Voyer et al. 2022;Ecology Letters;Aves;2022;1861;NA;35.0893127;Sexual plumage dimorphism;Male;pre-copulatory;Trait-based;Yes;No;1861;0.05;0.00053495;0.023128977;0.004667204;0.095332796;0.050041729;0.023199421
84;51;Gonzalez-Voyer et al. 2022;Ecology Letters;Aves;2022;1861;NA;35.0893127;Mating system;Both;both;Mating system;Yes;No;1861;0.22;0.000486851;0.022064697;0.176753195;0.263246805;0.223656109;0.023199421
65;40;Grueter & Van Schaik 2009;Am J Primatol;Mammalia;2009;24;Body mass;0;Social organization;Both;both;Other;Yes;No;24;0.4764;0.025982415;0.161190617;0.160466392;0.792333608;0.518316969;0.21821789
